 21 3593.856922 2.734E-30 1.202E-04.07250.097 2749.61380.71-.002979       4 1 1 02       1 2 2 02                    Q 20e     3666632429 9 9 711    41.0   41.0
 23 3593.862812 1.427E-29 1.328E+01.06470.071 3705.48830.73-.005031       3 0 0 12       2 0 0 02                    P 54e     3655532432 9 9 711   107.0  109.0
 24 3593.865567 1.235E-30 2.747E-02.06810.084 2512.87080.74-.003452       4 0 0 01       1 1 1 01                    R 34e     3666632432 9 9 711   426.0  414.0
 23 3593.870103 7.727E-27 8.178E-03.06590.075  865.31330.74-.004929       0 2 2 11       0 0 0 01                    P 48e     4665632432 9 9 711    95.0   97.0
 21 3593.880089 3.284E-29 3.532E-03.07910.108 2795.96320.68-.001925       3 3 3 01       1 2 2 01                    R  9f     3666632429 9 9 711    21.0   19.0
 22 3593.880582 8.440E-30 9.683E+00.07460.101 3859.15320.69-.004108       3 2 2 13       2 2 2 03                    P 16e     3666632431 9 9 711    62.0   66.0
 21 3593.883936 1.926E-30 1.157E-04.08220.112 2606.97070.68-.002335       4 1 1 02       1 2 2 02                    Q  7f     3666632429 9 9 711    15.0   15.0
 21 3593.885221 2.855E-30 1.199E-04.07350.099 2719.05050.70-.002902       4 1 1 02       1 2 2 02                    Q 18e     3666632429 9 9 711    37.0   37.0
 22 3593.886171 2.900E-29 1.464E+01.06810.084 3854.92050.74-.004554       2 3 3 11       1 3 3 01                    P 35e     3666632431 9 9 711   138.0  142.0
 21 3593.891619 1.859E-27 6.800E+00.06050.066 3910.33350.69-.005910       2 1 1 12       1 1 1 01                    R 68f     3655532429 9 9 711   139.0  137.0
 12 3593.899844 1.339E-28 3.278E-01.06560.235 2541.17240.64-.011750          1 0 0          0 0 0 13  4  9       14  3 12      534243807360713049    81.0   87.0
 22 3593.901252 8.160E-30 1.535E-01.07520.102 3013.42080.69-.003619       1 1 1 21       0 1 1 11                    Q 15f     3666632431 9 9 711    62.0   62.0
 21 3593.902772 8.803E-28 6.687E+00.05950.066 4069.35330.68-.006003       2 1 1 12       1 1 1 01                    R 71e     3655532429 9 9 711   145.0  143.0
 21 3593.911037 2.902E-30 1.196E-04.07460.101 2691.62050.69-.002821       4 1 1 02       1 2 2 02                    Q 16e     3666632429 9 9 711    33.0   33.0
 21 3593.911906 1.041E-28 8.900E-04.06800.084 2525.64540.74-.004623       0 5 5 11       0 3 3 01                    P 36f     3666632429 9 9 711    71.0   73.0
 24 3593.921645 6.950E-27 6.346E+00.06350.069 1962.26900.72-.005569       1 1 1 12       0 1 1 01                    R 58f     3755532432 9 9 711   714.0  702.0
 12 3593.924781 1.679E-29 1.084E-02.06990.352 2171.74070.610.003830          0 3 0          0 1 0  8  3  6        7  0  7      534243807294713152    51.0   45.0
 21 3593.929666 1.067E-28 8.311E-04.08620.118 2081.54070.69-.001200       4 0 0 01       1 1 1 01                    R  3e     3666632429 9 9 711     9.0    7.0
 21 3593.934234 2.860E-30 1.192E-04.07590.103 2667.32430.68-.002733       4 1 1 02       1 2 2 02                    Q 14e     3666632429 9 9 711    29.0   29.0
 23 3593.934667 1.643E-28 7.772E-04.06830.085 1101.49510.74-.004574       0 3 3 11       0 1 1 01                    P 34f     3666632432 9 9 711    67.0   69.0
 21 3593.944796 1.436E-30 1.120E-04.08470.116 2596.78050.69-.002171       4 1 1 02       1 2 2 02                    Q  5f     3666632429 9 9 711    11.0   11.0
 21 3593.954688 2.721E-30 1.187E-04.07740.105 2646.16210.68-.002637       4 1 1 02       1 2 2 02                    Q 12e     3666632429 9 9 711    25.0   25.0
 22 3593.956150 5.660E-30 1.080E-01.07350.099 3052.80890.70-.003781       1 1 1 21       0 1 1 11                    Q 18e     3666632431 9 9 711    74.0   74.0
 24 3593.958636 3.513E-30 1.204E+01.05640.064 3720.16860.65-.006262       2 0 0 13       1 0 0 02                    R 80e     4755532432 9 9 711   978.0  966.0
 22 3593.970654 1.800E-29 2.842E-03.07350.099 2066.37760.70-.002527       3 2 2 01       0 3 3 01                    R 17e     3666632431 9 9 711    74.0   70.0
 21 3593.972297 2.480E-30 1.180E-04.07910.108 2628.13440.68-.002529       4 1 1 02       1 2 2 02                    Q 10e     3666632429 9 9 711    21.0   21.0
 11 3593.974536 5.046E-22 8.724E-01.08930.452  756.72480.73-.006450          0 0 1          0 0 0  6  2  4        6  4  3      587777595910162545    39.0   39.0
 21 3593.986970 2.135E-30 1.167E-04.08110.111 2613.24160.68-.002405       4 1 1 02       1 2 2 02                    Q  8e     3666632429 9 9 711    17.0   17.0
 23 3593.988401 9.191E-28 5.098E+00.05460.064 2748.11360.63-.005781       1 0 0 11       0 0 0 01                    P 86e     4755532432 9 9 711   171.0  173.0
 21 3593.996920 1.463E-30 1.520E+01.05640.064 5576.38820.65-.005673       1 1 1 21       0 1 1 11                    P 81f     3655532429 9 9 711   161.0  163.0
 21 3593.998635 1.693E-30 1.143E-04.08340.114 2601.48380.68-.002257       4 1 1 02       1 2 2 02                    Q  6e     3666632429 9 9 711    13.0   13.0
 22 3594.004336 6.090E-30 7.516E+00.06630.076 4095.71020.74-.004829       1 5 5 11       0 5 5 01                    P 46f     3665632431 9 9 711   182.0  186.0
 21 3594.007235 1.154E-30 1.079E-04.08620.118 2592.86120.69-.002075       4 1 1 02       1 2 2 02                    Q  4e     3666632429 9 9 711     9.0    9.0
 14 3594.008881 2.428E-28 4.501E+00.03960.291 2430.99380.79-.004720          0 0 1          0 0 0 16  3 13       16  4 12      4622205041 7833348   198.0  198.0
 21 3594.011839 1.411E-26 8.985E-03.06320.069 2097.54970.72-.005233       0 3 3 11       0 1 1 01                    P 60f     3655532429 9 9 711   119.0  121.0
 14 3594.011890 7.710E-26 1.094E+00.06390.415  841.36750.79-.016230          0 0 1          0 0 0  9  1  8        9  3  7      5625203041 7783348   114.0  114.0
 23 3594.017962 5.921E-30 1.402E+01.06570.074 3877.43110.74-.004904       1 1 1 21       0 1 1 11                    P 49e     3665632432 9 9 711    97.0   99.0
 22 3594.021207 1.790E-28 9.967E+00.07350.099 3261.66080.70-.004156       3 1 1 13       2 1 1 03                    P 18f     3666632431 9 9 711    70.0   74.0
